r_f_set: 2.00   PWM: 7.00   Flow_SFM: 0.99   Flow_SDP: 0.52   Mean_Pressure: 0.76
r_f_set: 2.00   PWM: 7.00   Flow_SFM: 0.87   Flow_SDP: 0.55   Mean_Pressure: 0.71
r_f_set: 2.00   PWM: 7.00   Flow_SFM: 0.77   Flow_SDP: 0.11   Mean_Pressure: 0.70
r_f_set: 2.00   PWM: 10.19   Flow_SFM: 0.69   Flow_SDP: 0.48   Mean_Pressure: 0.68
r_f_set: 2.00   PWM: 12.90   Flow_SFM: 0.72   Flow_SDP: 0.06   Mean_Pressure: 0.69
r_f_set: 2.00   PWM: 14.80   Flow_SFM: 0.87   Flow_SDP: 0.65   Mean_Pressure: 0.73
r_f_set: 2.00   PWM: 16.40   Flow_SFM: 1.06   Flow_SDP: 0.73   Mean_Pressure: 0.78
r_f_set: 2.00   PWM: 17.37   Flow_SFM: 1.28   Flow_SDP: 1.02   Mean_Pressure: 0.86
r_f_set: 2.00   PWM: 18.26   Flow_SFM: 1.52   Flow_SDP: 1.68   Mean_Pressure: 0.93
r_f_set: 2.00   PWM: 18.36   Flow_SFM: 1.72   Flow_SDP: 1.87   Mean_Pressure: 1.02
r_f_set: 2.00   PWM: 18.09   Flow_SFM: 1.87   Flow_SDP: 2.07   Mean_Pressure: 1.09
r_f_set: 2.00   PWM: 18.70   Flow_SFM: 2.02   Flow_SDP: 2.10   Mean_Pressure: 1.16
r_f_set: 2.00   PWM: 17.97   Flow_SFM: 2.13   Flow_SDP: 2.10   Mean_Pressure: 1.19
r_f_set: 2.00   PWM: 17.87   Flow_SFM: 2.12   Flow_SDP: 2.17   Mean_Pressure: 1.19
r_f_set: 2.00   PWM: 17.39   Flow_SFM: 2.12   Flow_SDP: 2.27   Mean_Pressure: 1.20
r_f_set: 2.00   PWM: 17.46   Flow_SFM: 2.13   Flow_SDP: 2.24   Mean_Pressure: 1.20
r_f_set: 2.00   PWM: 17.52   Flow_SFM: 2.13   Flow_SDP: 2.27   Mean_Pressure: 1.19
r_f_set: 2.00   PWM: 16.71   Flow_SFM: 2.12   Flow_SDP: 2.46   Mean_Pressure: 1.19
r_f_set: 2.00   PWM: 16.54   Flow_SFM: 2.10   Flow_SDP: 2.21   Mean_Pressure: 1.17
r_f_set: 2.00   PWM: 16.58   Flow_SFM: 2.07   Flow_SDP: 2.16   Mean_Pressure: 1.18
r_f_set: 2.00   PWM: 16.41   Flow_SFM: 2.05   Flow_SDP: 2.14   Mean_Pressure: 1.17
r_f_set: 2.00   PWM: 16.49   Flow_SFM: 2.04   Flow_SDP: 1.99   Mean_Pressure: 1.15
r_f_set: 2.00   PWM: 16.29   Flow_SFM: 2.05   Flow_SDP: 2.10   Mean_Pressure: 1.16
r_f_set: 2.00   PWM: 16.11   Flow_SFM: 2.01   Flow_SDP: 2.02   Mean_Pressure: 1.15
r_f_set: 2.00   PWM: 16.36   Flow_SFM: 1.99   Flow_SDP: 2.06   Mean_Pressure: 1.13
r_f_set: 2.00   PWM: 16.33   Flow_SFM: 2.02   Flow_SDP: 2.12   Mean_Pressure: 1.13
r_f_set: 2.00   PWM: 15.79   Flow_SFM: 2.00   Flow_SDP: 2.08   Mean_Pressure: 1.13
r_f_set: 2.00   PWM: 16.45   Flow_SFM: 1.97   Flow_SDP: 1.92   Mean_Pressure: 1.15
r_f_set: 2.00   PWM: 16.20   Flow_SFM: 2.00   Flow_SDP: 2.15   Mean_Pressure: 1.12
r_f_set: 2.00   PWM: 16.49   Flow_SFM: 2.01   Flow_SDP: 2.01   Mean_Pressure: 1.14
r_f_set: 2.00   PWM: 16.17   Flow_SFM: 2.03   Flow_SDP: 2.04   Mean_Pressure: 1.14
r_f_set: 2.00   PWM: 16.34   Flow_SFM: 2.01   Flow_SDP: 2.34   Mean_Pressure: 1.13
r_f_set: 2.00   PWM: 16.31   Flow_SFM: 1.99   Flow_SDP: 1.86   Mean_Pressure: 1.13
r_f_set: 2.00   PWM: 16.22   Flow_SFM: 2.00   Flow_SDP: 2.37   Mean_Pressure: 1.14
r_f_set: 2.00   PWM: 16.25   Flow_SFM: 2.02   Flow_SDP: 2.22   Mean_Pressure: 1.14
r_f_set: 2.00   PWM: 16.25   Flow_SFM: 2.01   Flow_SDP: 2.00   Mean_Pressure: 1.14
r_f_set: 2.00   PWM: 15.75   Flow_SFM: 1.99   Flow_SDP: 2.10   Mean_Pressure: 1.13
r_f_set: 2.00   PWM: 16.30   Flow_SFM: 2.00   Flow_SDP: 1.94   Mean_Pressure: 1.14
r_f_set: 2.00   PWM: 16.16   Flow_SFM: 2.02   Flow_SDP: 2.20   Mean_Pressure: 1.12
r_f_set: 2.00   PWM: 15.92   Flow_SFM: 1.99   Flow_SDP: 2.04   Mean_Pressure: 1.13
r_f_set: 2.00   PWM: 16.25   Flow_SFM: 2.00   Flow_SDP: 1.95   Mean_Pressure: 1.13
r_f_set: 2.00   PWM: 16.36   Flow_SFM: 2.02   Flow_SDP: 2.22   Mean_Pressure: 1.14
r_f_set: 2.00   PWM: 16.29   Flow_SFM: 1.98   Flow_SDP: 2.13   Mean_Pressure: 1.13
r_f_set: 2.00   PWM: 16.50   Flow_SFM: 1.97   Flow_SDP: 2.04   Mean_Pressure: 1.12
r_f_set: 2.00   PWM: 16.34   Flow_SFM: 1.99   Flow_SDP: 1.95   Mean_Pressure: 1.13
r_f_set: 2.00   PWM: 16.61   Flow_SFM: 1.97   Flow_SDP: 1.91   Mean_Pressure: 1.13
r_f_set: 2.00   PWM: 16.26   Flow_SFM: 2.01   Flow_SDP: 2.06   Mean_Pressure: 1.11
r_f_set: 2.00   PWM: 16.19   Flow_SFM: 2.01   Flow_SDP: 2.04   Mean_Pressure: 1.12
r_f_set: 2.00   PWM: 16.35   Flow_SFM: 2.00   Flow_SDP: 1.98   Mean_Pressure: 1.14
r_f_set: 3.00   PWM: 18.86   Flow_SFM: 2.02   Flow_SDP: 2.08   Mean_Pressure: 1.13
r_f_set: 3.00   PWM: 20.55   Flow_SFM: 2.16   Flow_SDP: 2.14   Mean_Pressure: 1.19
