0
Initializing SDP sensor
SDP sensor initialized
1
SN:1820000045  FlowOffset:0.00 FlowScale:256.00  TempOffset:20000.00  TempScale:100.00 SFM Status:02
3
SETUP DONE
r_f_set: 2.00   PWM: 13.99   Flow_SFM: 0.23   Flow_SDP: -0.44   Mean_Pressure: 0.57
r_f_set: 2.00   PWM: 16.36   Flow_SFM: 0.47   Flow_SDP: 0.17   Mean_Pressure: 0.62
r_f_set: 2.00   PWM: 17.99   Flow_SFM: 0.90   Flow_SDP: 1.04   Mean_Pressure: 0.71
r_f_set: 2.00   PWM: 19.19   Flow_SFM: 1.27   Flow_SDP: 1.35   Mean_Pressure: 0.82
r_f_set: 2.00   PWM: 19.21   Flow_SFM: 1.59   Flow_SDP: 1.69   Mean_Pressure: 0.91
r_f_set: 2.00   PWM: 19.68   Flow_SFM: 1.85   Flow_SDP: 1.99   Mean_Pressure: 1.02
r_f_set: 2.00   PWM: 18.97   Flow_SFM: 2.10   Flow_SDP: 2.17   Mean_Pressure: 1.13
r_f_set: 2.00   PWM: 18.66   Flow_SFM: 2.20   Flow_SDP: 2.28   Mean_Pressure: 1.17
r_f_set: 2.00   PWM: 17.72   Flow_SFM: 2.28   Flow_SDP: 2.30   Mean_Pressure: 1.21
r_f_set: 2.00   PWM: 17.15   Flow_SFM: 2.27   Flow_SDP: 2.34   Mean_Pressure: 1.20
r_f_set: 2.00   PWM: 16.22   Flow_SFM: 2.28   Flow_SDP: 2.33   Mean_Pressure: 1.19
r_f_set: 2.00   PWM: 16.06   Flow_SFM: 2.27   Flow_SDP: 2.32   Mean_Pressure: 1.17
r_f_set: 2.00   PWM: 15.73   Flow_SFM: 2.21   Flow_SDP: 2.27   Mean_Pressure: 1.18
r_f_set: 2.00   PWM: 15.47   Flow_SFM: 2.14   Flow_SDP: 2.20   Mean_Pressure: 1.15
r_f_set: 2.00   PWM: 15.99   Flow_SFM: 2.10   Flow_SDP: 2.19   Mean_Pressure: 1.12
r_f_set: 2.00   PWM: 15.51   Flow_SFM: 2.06   Flow_SDP: 2.14   Mean_Pressure: 1.12
r_f_set: 2.00   PWM: 15.34   Flow_SFM: 2.01   Flow_SDP: 2.08   Mean_Pressure: 1.10
r_f_set: 2.00   PWM: 15.40   Flow_SFM: 2.02   Flow_SDP: 2.07   Mean_Pressure: 1.10
r_f_set: 2.00   PWM: 15.72   Flow_SFM: 1.95   Flow_SDP: 2.06   Mean_Pressure: 1.08
r_f_set: 2.00   PWM: 15.77   Flow_SFM: 1.93   Flow_SDP: 2.05   Mean_Pressure: 1.07
r_f_set: 2.00   PWM: 16.16   Flow_SFM: 1.92   Flow_SDP: 2.06   Mean_Pressure: 1.06
r_f_set: 2.00   PWM: 15.84   Flow_SFM: 1.95   Flow_SDP: 2.04   Mean_Pressure: 1.07
r_f_set: 2.00   PWM: 16.26   Flow_SFM: 1.93   Flow_SDP: 2.04   Mean_Pressure: 1.08
r_f_set: 2.00   PWM: 16.17   Flow_SFM: 1.99   Flow_SDP: 2.10   Mean_Pressure: 1.09
r_f_set: 2.00   PWM: 16.16   Flow_SFM: 2.01   Flow_SDP: 2.11   Mean_Pressure: 1.10
r_f_set: 2.00   PWM: 15.96   Flow_SFM: 1.98   Flow_SDP: 2.06   Mean_Pressure: 1.10
r_f_set: 2.00   PWM: 15.76   Flow_SFM: 2.03   Flow_SDP: 2.10   Mean_Pressure: 1.11
r_f_set: 2.00   PWM: 15.94   Flow_SFM: 2.01   Flow_SDP: 2.09   Mean_Pressure: 1.12
r_f_set: 2.00   PWM: 15.91   Flow_SFM: 1.99   Flow_SDP: 2.07   Mean_Pressure: 1.10
r_f_set: 2.00   PWM: 16.03   Flow_SFM: 2.00   Flow_SDP: 2.09   Mean_Pressure: 1.11
r_f_set: 2.00   PWM: 15.85   Flow_SFM: 2.01   Flow_SDP: 2.11   Mean_Pressure: 1.10
r_f_set: 2.00   PWM: 15.87   Flow_SFM: 2.03   Flow_SDP: 2.09   Mean_Pressure: 1.10
r_f_set: 2.00   PWM: 15.93   Flow_SFM: 2.01   Flow_SDP: 2.09   Mean_Pressure: 1.11
r_f_set: 2.00   PWM: 15.87   Flow_SFM: 2.00   Flow_SDP: 2.11   Mean_Pressure: 1.11
r_f_set: 2.00   PWM: 16.16   Flow_SFM: 2.00   Flow_SDP: 2.09   Mean_Pressure: 1.09
r_f_set: 2.00   PWM: 16.16   Flow_SFM: 1.97   Flow_SDP: 2.07   Mean_Pressure: 1.08
r_f_set: 2.00   PWM: 15.99   Flow_SFM: 2.01   Flow_SDP: 2.11   Mean_Pressure: 1.11
r_f_set: 2.00   PWM: 16.07   Flow_SFM: 2.00   Flow_SDP: 2.06   Mean_Pressure: 1.08
r_f_set: 2.00   PWM: 15.90   Flow_SFM: 1.98   Flow_SDP: 2.11   Mean_Pressure: 1.10
r_f_set: 2.00   PWM: 15.89   Flow_SFM: 2.01   Flow_SDP: 2.12   Mean_Pressure: 1.11
r_f_set: 2.00   PWM: 15.93   Flow_SFM: 2.02   Flow_SDP: 2.12   Mean_Pressure: 1.10
r_f_set: 2.00   PWM: 15.90   Flow_SFM: 2.00   Flow_SDP: 2.08   Mean_Pressure: 1.09
r_f_set: 2.00   PWM: 16.02   Flow_SFM: 1.98   Flow_SDP: 2.06   Mean_Pressure: 1.09
